Título,Categoría, Streamtape,Descarga
Takopi's Original Sin,Serie 001,1-6,Mega 01
Higurashi When They Cry,Serie 002,7-32,Mega 01
Serial Experiments Lain,Serie 003,33-45,Mega 03
Nekojiru-sou (2001),Pelicula,46,Mega 05
Mind Game (2004),Pelicula,47,Mega 05
Perfect Blue (1997),Pelicula,48,Mega 06
Platonic Chain,Serie 004,49-73,Mega 05
Suzumiya Haruhi no Shoushitsu (2010),Pelicula, 74,Mega 02
Tenshi no Tamago (1985),Pelicula,75,Mega 06
The King of Pigs (2011),Pelicula,76,Mega 02
Pantheon (Season 01),Serie 005,77-84,Mega 04
